Date,Total COVID-19 Cases,Vaccines Administered,2021 US Travel Numbers
2021-05-01,32426535,502980017,1335535
2021-05-02,32462590,507291071,1626962
2021-05-03,32495833,509700681,1463672
2021-05-04,32539421,511684721,1134103
2021-05-05,32584476,515317513,1268938
2021-05-06,32628118,520178645,1644050
2021-05-07,32671923,525833299,1703267
2021-05-08,32708739,531012992,1429657
2021-05-09,32735933,535799586,1707805
2021-05-10,32759802,539573811,1657722
2021-05-11,32794344,542649370,1315493
2021-05-12,32828941,545776624,1424664
2021-05-13,32865014,549673486,1743515
2021-05-14,32898882,553393155,1716561
2021-05-15,32928587,558222357,1453267
2021-05-16,32949748,562449840,1850531
2021-05-17,32968689,565435800,1734541
2021-05-18,32997189,567685925,1408017
2021-05-19,33025356,571224729,1496089
2021-05-20,33053631,575479362,1728496
2021-05-21,33080254,579917747,1820433
2021-05-22,33103495,584647111,1550044
2021-05-23,33118905,588239955,1863697
2021-05-24,33134562,590589971,1747353
2021-05-25,33157963,592383117,1470840
2021-05-26,33181938,595259411,1618169
2021-05-27,33203724,598313357,1854534
2021-05-28,33224447,601101246,1959593
2021-05-29,33240169,604348968,1605810
2021-05-30,33251983,606816105,1650454
2021-05-31,33261183,608744277,1900170
2021-06-01,33270873,609771995,1682752
2021-06-02,33286986,610790920,1587910
2021-06-03,33305567,612434670,1815931
2021-06-04,33324500,615258306,1879885
2021-06-05,33340046,617580696,1681192
2021-06-06,33352149,620057995,1984658
2021-06-07,33362274,622782869,1828396
2021-06-08,33376631,624929490,1560561
2021-06-09,33396506,626611258,1669537
2021-06-10,33413239,628501824,1975189
2021-06-11,33427769,630149528,2028961
2021-06-12,33439672,633379718,1812797
2021-06-13,33448265,635824147,2097433
2021-06-14,33456341,638491078,1800954
2021-06-15,33469564,640981695,1678688
2021-06-16,33483295,643043939,1792370
2021-06-17,33496877,647184023,2039425
2021-06-18,33508318,649363524,2081115
2021-06-19,33520031,651522305,1882381
2021-06-20,33529269,653233746,2100761
2021-06-21,33537707,654472673,2030577
2021-06-22,33551346,655768668,1795141
2021-06-23,33565932,657076451,1801329
2021-06-24,33581353,658728749,2085327
2021-06-25,33594932,659768925,2137584
2021-06-26,33607501,661633477,1918705
2021-06-27,33616914,664049390,2167380
2021-06-28,33626661,666272326,2066964
2021-06-29,33642964,667790635,1808306
2021-06-30,33660415,670567209,1920663
2021-07-01,33679286,673855029,2147090
2021-07-02,33696271,675184975,2196411
2021-07-03,33711388,677521708,1915017
2021-07-04,33724251,678824343,1681896
2021-07-05,33735891,679630015,2160147
2021-07-06,33751019,680094016,1889911
2021-07-07,33774766,680969411,1880160
2021-07-08,33804813,682372114,2027364
2021-07-09,33834882,683626952,2147903
2021-07-10,33859227,684836241,1987652
2021-07-11,33880315,686022381,2198635
2021-07-12,33903175,686923718,2093066
2021-07-13,33938216,687610091,1832878
2021-07-14,33978210,688711439,1900945
2021-07-15,34020566,689857403,2152053
2021-07-16,34063457,690979758,2199815
2021-07-17,34100975,692262907,1979981
2021-07-18,34136606,693277651,2227704
2021-07-19,34172575,694294317,2141429
2021-07-20,34222584,694665840,1871986
2021-07-21,34286635,695924500,1934918
2021-07-22,34356813,697259348,2101343
2021-07-23,34425070,698458911,2159300
2021-07-24,34484361,699823425,1942871
2021-07-25,34535922,701397151,2177129
2021-07-26,34588418,702184652,2124474
2021-07-27,34669114,702977705,1858328
2021-07-28,34759637,704494043,1923980
2021-07-29,34852240,705932348,2127634
2021-07-30,34957233,707660172,2198585
2021-07-31,35044639,709100426,2007412
