Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
08/07/2021,1925641,683212,2290340
08/06/2021,2109091,762547,2725000
08/05/2021,2063720,743599,2707986
08/04/2021,1855299,595739,2430094
08/03/2021,1797120,543601,2387115
08/02/2021,2031758,737235,2619406
08/01/2021,2238462,799861,2688640
07/31/2021,2007412,709033,2367967
07/30/2021,2198585,767320,2730936
07/29/2021,2127634,718310,2742882
07/28/2021,1923980,573200,2542365
07/27/2021,1858328,536756,2438967
07/26/2021,2124474,700043,2613346
07/25/2021,2177129,751205,2700723
07/24/2021,1942871,649027,2364925
07/23/2021,2159300,724770,2732770
07/22/2021,2101343,704815,2705399
07/21/2021,1934918,570951,2561911
07/20/2021,1871986,530421,2499460
07/19/2021,2141429,695330,2635312
07/18/2021,2227704,747422,2727355
07/17/2021,1979981,646654,2396462
07/16/2021,2199815,720378,2776960
07/15/2021,2152053,706164,2716828
07/14/2021,1900945,589285,2522563
07/13/2021,1832878,540268,2447177
07/12/2021,2093066,697985,2615115
07/11/2021,2198635,754545,2669717
07/10/2021,1987652,656284,2312178
07/09/2021,2147903,711124,2716812
07/08/2021,2027364,709653,2608209
07/07/2021,1880160,632498,2515902
07/06/2021,1889911,641761,2506859
07/05/2021,2160147,755555,2748718
07/04/2021,1681896,732123,2795369
07/03/2021,1915017,466669,2345846
07/02/2021,2196411,718988,2184253
07/01/2021,2147090,764761,2088760
06/30/2021,1920663,626516,2547889
06/29/2021,1808306,500054,2347767
06/28/2021,2066964,625235,2455536
06/27/2021,2167380,633810,2632030
06/26/2021,1918705,546310,2368846
06/25/2021,2137584,632984,2730515
06/24/2021,2085327,623624,2711222
06/23/2021,1801329,494826,2594661
06/22/2021,1795141,471421,2506510
06/21/2021,2030577,607540,2716428
06/20/2021,2100761,590456,2719643
06/19/2021,1882381,507129,2378559
06/18/2021,2081115,587908,2772903
06/17/2021,2039425,576514,2728786
06/16/2021,1792370,441829,2552395
06/15/2021,1678688,417924,2466574
06/14/2021,1800954,534528,2699580
06/13/2021,2097433,544046,2642083
06/12/2021,1812797,437119,2318946
06/11/2021,2028961,519304,2727860
06/10/2021,1975189,502209,2675686
06/09/2021,1669537,386969,2509058
06/08/2021,1560561,338382,2433189
06/07/2021,1828396,430414,2644981
06/06/2021,1984658,441255,2669860
06/05/2021,1681192,353016,2225952
06/04/2021,1879885,419675,2649808
06/03/2021,1815931,391882,2623947
06/02/2021,1587910,304436,2370152
06/01/2021,1682752,267742,2247421
05/31/2021,1900170,353261,2499002
05/30/2021,1650454,352947,2555578
05/29/2021,1605810,268867,2117180
05/28/2021,1959593,327133,2570613
05/27/2021,1854534,321776,2485770
05/26/2021,1618169,261170,2269035
05/25/2021,1470840,264843,2453649
05/24/2021,1747353,340769,2512237
05/23/2021,1863697,267451,2070716
05/22/2021,1550044,253190,2124825
05/21/2021,1820433,348673,2792670
05/20/2021,1728496,318449,2673635
05/19/2021,1496089,230367,2472123
05/18/2021,1408017,190477,2312727
05/17/2021,1734541,244176,2615691
05/16/2021,1850531,253807,2620276
05/15/2021,1453267,193340,2091116
05/14/2021,1716561,250467,2664549
05/13/2021,1743515,234928,2611324
05/12/2021,1424664,176667,2343675
05/11/2021,1315493,163205,2191387
05/10/2021,1657722,215645,2512315
05/09/2021,1707805,200815,2419114
05/08/2021,1429657,169580,1985942
05/07/2021,1703267,215444,2602631
05/06/2021,1644050,190863,2555342
05/05/2021,1268938,140409,2270662
05/04/2021,1134103,130601,2106597
05/03/2021,1463672,163692,2470969
05/02/2021,1626962,170254,2512598
05/01/2021,1335535,134261,1968278
04/30/2021,1558553,171563,2546029
04/29/2021,1526681,154695,2499461
04/28/2021,1184326,119629,2256442
04/27/2021,1077199,110913,2102068
04/26/2021,1369410,119854,2412770
